entity,year,avg_pagerank,max_pagerank,avg_degree_centrality,avg_momentum,windows_rising,windows_falling,net_momentum_signal,narrative_trend,network_type
Seattle Sounders FC,2024,0.05140100000000001,0.074246,0.7195768,0.0037725999999999997,2,3,-1,stable,club_cooccurrence
Sporting Kansas City,2018,0.0287858,0.046528,0.5129118,-0.0006573999999999996,2,2,0,stable,club_cooccurrence
Sporting Kansas City,2019,0.0198054,0.031019,0.4208888,-0.0052594,1,3,-2,falling,club_cooccurrence
Sporting Kansas City,2020,0.025201,0.039447,0.41055260000000005,0.004387,2,2,0,stable,club_cooccurrence
Sporting Kansas City,2021,0.035621400000000004,0.05091,0.4859788,0.0039862000000000005,3,2,1,stable,club_cooccurrence
Sporting Kansas City,2022,0.026462400000000004,0.039683,0.47417600000000004,-0.0044174,1,3,-2,falling,club_cooccurrence
Sporting Kansas City,2023,0.021770400000000002,0.03067,0.47857120000000003,-0.001531,2,3,-1,stable,club_cooccurrence
Sporting Kansas City,2024,0.0223466,0.031638,0.46666660000000004,-0.002716,1,2,-1,stable,club_cooccurrence
St. Louis City SC,2021,0.005737,0.005737,0.035714,0.0,0,0,0,stable,club_cooccurrence
St. Louis City SC,2022,0.0084105,0.009394,0.1428575,0.0,0,0,0,stable,club_cooccurrence
St. Louis City SC,2023,0.020952000000000002,0.029314,0.42142859999999993,0.0045118,3,1,2,rising,club_cooccurrence
St. Louis City SC,2024,0.01673825,0.026274,0.36607125,-0.0029852499999999996,1,3,-2,falling,club_cooccurrence
Toronto FC,2018,0.051778199999999996,0.074377,0.6764104,-0.003238800000000001,2,2,0,stable,club_cooccurrence
Toronto FC,2019,0.0582908,0.077991,0.7864274,0.0099358,3,1,2,rising,club_cooccurrence
Toronto FC,2020,0.0621028,0.076021,0.6792480000000001,0.002048199999999999,3,2,1,stable,club_cooccurrence
Toronto FC,2021,0.04421220000000001,0.07265,0.4763228,-0.015259400000000001,2,3,-1,stable,club_cooccurrence
Toronto FC,2022,0.0461744,0.077031,0.6631664,0.0002660000000000003,2,3,-1,stable,club_cooccurrence
Toronto FC,2023,0.0394818,0.055632,0.6285714,0.0005345999999999997,2,2,0,stable,club_cooccurrence
Toronto FC,2024,0.0573144,0.087016,0.7343916,0.004692799999999999,3,2,1,stable,club_cooccurrence
Vancouver Whitecaps FC,2018,0.0365728,0.039535,0.6230656,0.0008994000000000002,1,0,1,stable,club_cooccurrence
Vancouver Whitecaps FC,2019,0.0320266,0.039486,0.5281480000000001,-0.004355199999999999,1,3,-2,falling,club_cooccurrence
Vancouver Whitecaps FC,2020,0.0529096,0.061781,0.6401254,0.0096332,3,2,1,stable,club_cooccurrence
Vancouver Whitecaps FC,2021,0.0301454,0.044292,0.3982804,-0.010841400000000001,1,4,-3,falling,club_cooccurrence
Vancouver Whitecaps FC,2022,0.0294778,0.041308,0.5353888,0.0009762000000000006,3,1,2,rising,club_cooccurrence
Vancouver Whitecaps FC,2023,0.0277806,0.032592,0.5357141999999999,4.539999999999995e-05,3,2,1,stable,club_cooccurrence
Vancouver Whitecaps FC,2024,0.0319744,0.049533,0.5613758,0.0025485999999999994,3,2,1,stable,club_cooccurrence
